777869943	1	Doubt
777869943	3	Name_Calling-Labeling
777869943	4	
777869943	5	
777869943	6	Doubt,Loaded_Language
777869943	7	Name_Calling-Labeling
777869943	8	Loaded_Language,Name_Calling-Labeling
777869943	9	
777869943	10	Loaded_Language
777869943	11	
777869943	12	
777869943	13	Doubt,Loaded_Language
777869943	14	
777869943	15	
777869943	16	Loaded_Language
777869943	17	
777869943	18	
777869943	19	Doubt
777869943	20	Loaded_Language
777869943	21	Loaded_Language
777869943	22	Exaggeration-Minimisation
777869943	23	
777869943	24	Doubt
777869943	25	
777869943	26	Doubt
777869943	27	Doubt
777869943	28	Doubt
777869943	29	
777869943	30	
777869943	31	
777869943	32	
777869943	33	Loaded_Language
777869943	34	
777869943	35	
777869943	36	
777869943	37	
777869943	38	
777869943	39	
777869943	40	
777869943	41	
