25108	1	
25108	3	
25108	5	
25108	7	Name_Calling-Labeling
25108	9	
25108	11	
25108	13	
25108	15	
25108	17	
25108	19	Name_Calling-Labeling
25108	21	
25108	23	
25108	25	
25108	27	
25108	29	
25108	31	
25108	33	
25108	35	
25108	37	
25108	39	
25108	41	
25108	43	
25108	45	
25108	47	
25108	49	
25108	51	Slogans
25108	53	
25108	55	
25108	57	
25108	59	
25108	61	
25108	63	
25108	65	
25108	67	
25108	69	Appeal_to_Hypocrisy
25108	71	Exaggeration-Minimisation
25108	73	Appeal_to_Hypocrisy
25108	75	
25108	77	
25108	79	
25108	81	
25108	83	
25108	85	
25108	87	
25108	89	
25108	91	Exaggeration-Minimisation
25108	93	
25108	95	
25108	97	
25108	99	
25108	101	
25108	103	
25108	105	
25108	107	Appeal_to_Hypocrisy
